id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
3cKemk7Qmq7Np7XxAt3HgC,0.672,0.208,111.048,0.0334,0.711,0.00162,4,0.634,7,253399,-8.198,0.0995,1,audio_features,spotify:track:3cKemk7Qmq7Np7XxAt3HgC
4tyRfWvW7fOndxOIVSxknM,0.37,0.105,141.669,0.0284,0.688,1.91e-05,4,0.548,5,224227,-8.108,0.35,1,audio_features,spotify:track:4tyRfWvW7fOndxOIVSxknM
2kpvF5jz3JjqiLQAe2nQac,0.908,0.0714,124.993,0.0543,0.0137,0.887,4,0.804,1,343900,-9.545,0.727,0,audio_features,spotify:track:2kpvF5jz3JjqiLQAe2nQac
45R6DmpsaoqLujIn6qPTPH,0.934,0.0921,102.121,0.0553,8.38e-06,0.164,4,0.502,9,213000,-3.899,0.477,1,audio_features,spotify:track:45R6DmpsaoqLujIn6qPTPH
0JLYdTiTJjV0wLfEROpeQq,0.808,0.0782,103.023,0.0302,0.0138,8.91e-05,4,0.663,9,250787,-3.816,0.684,0,audio_features,spotify:track:0JLYdTiTJjV0wLfEROpeQq
5ndyjqPPACB114cu4PlAw9,0.638,0.0961,117.984,0.055,0.232,0.211,4,0.823,4,305532,-11.364,0.382,0,audio_features,spotify:track:5ndyjqPPACB114cu4PlAw9
03PeuFXQ2XZAOASmvGG8Im,0.467,0.193,95.016,0.0484,0.654,0.139,4,0.583,1,228717,-10.436,0.281,0,audio_features,spotify:track:03PeuFXQ2XZAOASmvGG8Im
7b1724xEzf45o0DzPkg7GJ,0.742,0.123,109.989,0.109,0.269,0.0861,4,0.836,4,318146,-8.673,0.56,0,audio_features,spotify:track:7b1724xEzf45o0DzPkg7GJ
1YRrscFaLcdwa9GST5uk5G,0.521,0.0978,109.995,0.0624,0.0356,0.165,4,0.815,1,436928,-12.389,0.545,1,audio_features,spotify:track:1YRrscFaLcdwa9GST5uk5G
3jsbGTFHDymHz1UHnxjBti,0.44,0.0958,147.012,0.0324,0.359,0.000453,4,0.608,3,246907,-6.926,0.34,1,audio_features,spotify:track:3jsbGTFHDymHz1UHnxjBti
0MAFKvpFsUPRlC6UkB67IZ,0.847,0.0581,122.004,0.0488,0.0104,0.905,4,0.835,10,413432,-6.607,0.779,1,audio_features,spotify:track:0MAFKvpFsUPRlC6UkB67IZ
1Ziz5RhbSefNwAEm8FNEQc,0.871,0.19,120.985,0.0317,0.00507,0.0,4,0.566,5,184560,-4.474,0.533,1,audio_features,spotify:track:1Ziz5RhbSefNwAEm8FNEQc
14IYWd46RNIl5lqGBvrZ1l,0.954,0.146,157.0,0.061,9.36e-06,0.329,4,0.396,6,193813,-3.124,0.462,0,audio_features,spotify:track:14IYWd46RNIl5lqGBvrZ1l
0yrBrklhPLfk4RWBYPF1Gg,0.454,0.114,72.092,0.0308,0.0114,0.0135,4,0.308,1,289237,-6.254,0.13,1,audio_features,spotify:track:0yrBrklhPLfk4RWBYPF1Gg
4wqCDVtEPAKKhhZWuXsffD,0.908,0.105,160.015,0.0552,2.68e-05,1.23e-06,4,0.342,9,250963,-3.227,0.443,0,audio_features,spotify:track:4wqCDVtEPAKKhhZWuXsffD
4EgYnbvGHaDvadxpzlvpas,0.82,0.108,121.026,0.0574,0.00229,0.545,4,0.376,1,242459,-3.844,0.33,1,audio_features,spotify:track:4EgYnbvGHaDvadxpzlvpas
4ZxQAMaFFk0tSCLfdHvIx8,0.809,0.123,133.979,0.0324,0.00431,0.00257,4,0.516,3,291342,-5.571,0.22,1,audio_features,spotify:track:4ZxQAMaFFk0tSCLfdHvIx8
3HfB5hBU0dmBt8T0iCmH42,0.344,0.115,91.834,0.035,0.00563,0.000473,4,0.532,7,235667,-13.057,0.126,1,audio_features,spotify:track:3HfB5hBU0dmBt8T0iCmH42
